Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,27279.919922,27349.580078,27165.779297,27237.640625,27237.640625,58200000
2022-12-20,27257.349609,27339.490234,26416.910156,26568.029297,26568.029297,118500000
2022-12-21,26547.169922,26616.279297,26269.800781,26387.720703,26387.720703,119200000
2022-12-22,26552.429688,26585.279297,26399.310547,26507.869141,26507.869141,73400000
2022-12-23,26207.769531,26291.980469,26106.380859,26235.250000,26235.250000,75700000
2022-12-26,26299.539063,26438.650391,26294.849609,26405.869141,26405.869141,47300000
2022-12-27,26570.779297,26620.490234,26447.869141,26447.869141,26447.869141,50200000
2022-12-28,26309.339844,26354.269531,26199.669922,26340.500000,26340.500000,61500000
2022-12-29,26074.900391,26126.699219,25953.919922,26093.669922,26093.669922,63100000
2022-12-30,26288.000000,26321.369141,26067.919922,26094.500000,26094.500000,52700000
2023-01-04,25834.929688,25840.679688,25661.890625,25716.859375,25716.859375,83300000
2023-01-05,25825.500000,25947.099609,25750.460938,25820.800781,25820.800781,72300000
2023-01-06,25740.080078,26034.060547,25719.609375,25973.849609,25973.849609,68200000
2023-01-10,26176.609375,26316.660156,26132.800781,26175.560547,26175.560547,71200000
2023-01-11,26362.210938,26479.990234,26332.050781,26446.000000,26446.000000,62400000
2023-01-12,26524.939453,26547.609375,26381.929688,26449.820313,26449.820313,77000000
2023-01-13,26391.779297,26409.210938,26090.839844,26119.519531,26119.519531,98300000
2023-01-16,25836.669922,25938.039063,25748.099609,25822.320313,25822.320313,71700000
2023-01-17,25915.509766,26198.689453,25895.300781,26138.679688,26138.679688,68100000
2023-01-18,26251.339844,26816.679688,26211.839844,26791.119141,26791.119141,93400000
2023-01-19,26541.080078,26592.869141,26368.970703,26405.230469,26405.230469,68700000
2023-01-20,26346.689453,26553.529297,26320.960938,26553.529297,26553.529297,60400000
2023-01-23,26880.210938,26938.279297,26788.759766,26906.039063,26906.039063,60200000
2023-01-24,27150.429688,27381.000000,27150.429688,27299.189453,27299.189453,70800000
2023-01-25,27175.880859,27473.900391,27175.880859,27395.009766,27395.009766,63400000
2023-01-26,27444.640625,27502.150391,27284.080078,27362.750000,27362.750000,63300000
2023-01-27,27428.410156,27452.669922,27326.910156,27382.560547,27382.560547,71500000
2023-01-30,27384.769531,27486.419922,27337.250000,27433.400391,27433.400391,65800000
2023-01-31,27458.560547,27494.169922,27302.220703,27327.109375,27327.109375,74600000
2023-02-01,27483.410156,27547.669922,27322.789063,27346.880859,27346.880859,65800000
2023-02-02,27453.669922,27472.439453,27338.429688,27402.050781,27402.050781,73200000
2023-02-03,27455.029297,27612.570313,27445.689453,27509.460938,27509.460938,92800000
2023-02-06,27764.660156,27821.220703,27656.470703,27693.650391,27693.650391,88400000
2023-02-07,27744.900391,27814.960938,27662.109375,27685.470703,27685.470703,74300000
2023-02-08,27690.740234,27719.449219,27458.529297,27606.460938,27606.460938,69000000
2023-02-09,27453.400391,27635.380859,27424.689453,27584.349609,27584.349609,61700000
2023-02-10,27711.250000,27814.019531,27609.330078,27670.980469,27670.980469,88800000
2023-02-13,27550.349609,27570.320313,27266.939453,27427.320313,27427.320313,70400000
2023-02-14,27705.369141,27721.820313,27553.179688,27602.769531,27602.769531,55800000
2023-02-15,27686.009766,27720.269531,27444.130859,27501.859375,27501.859375,72100000
2023-02-16,27654.720703,27727.660156,27597.119141,27696.439453,27696.439453,68100000
2023-02-17,27484.599609,27608.589844,27466.609375,27513.130859,27513.130859,68800000
2023-02-20,27497.130859,27531.939453,27426.480469,27531.939453,27531.939453,62500000
2023-02-21,27486.089844,27538.289063,27359.119141,27473.099609,27473.099609,61600000
2023-02-22,27265.990234,27300.529297,27046.080078,27104.320313,27104.320313,74700000
2023-02-24,27144.720703,27465.900391,27128.320313,27453.480469,27453.480469,76000000
2023-02-27,27322.730469,27456.220703,27292.740234,27423.960938,27423.960938,59400000
2023-02-28,27515.339844,27585.169922,27400.359375,27445.560547,27445.560547,86300000
2023-03-01,27363.570313,27530.759766,27305.369141,27516.529297,27516.529297,69800000
2023-03-02,27564.820313,27617.800781,27408.539063,27498.869141,27498.869141,69300000
2023-03-03,27683.259766,27961.210938,27655.339844,27927.470703,27927.470703,78200000
2023-03-06,28182.310547,28288.619141,28153.820313,28237.779297,28237.779297,65700000
2023-03-07,28202.589844,28398.269531,28202.589844,28309.160156,28309.160156,69800000
2023-03-08,28237.210938,28469.410156,28232.679688,28444.189453,28444.189453,67200000
2023-03-09,28648.109375,28734.789063,28558.880859,28623.150391,28623.150391,72300000
2023-03-10,28385.289063,28424.240234,28118.740234,28143.970703,28143.970703,111300000
2023-03-13,27886.210938,27906.970703,27631.529297,27832.960938,27832.960938,96100000
2023-03-14,27455.949219,27455.949219,27104.750000,27222.039063,27222.039063,125700000
2023-03-15,27421.660156,27424.939453,27105.990234,27229.480469,27229.480469,86600000
2023-03-16,26796.669922,27057.539063,26632.919922,27010.609375,27010.609375,107100000
2023-03-17,27232.230469,27356.150391,27071.710938,27333.789063,27333.789063,101500000
2023-03-20,27253.730469,27367.179688,26945.669922,26945.669922,26945.669922,79200000
2023-03-22,27298.150391,27520.970703,27267.259766,27466.609375,27466.609375,78100000
2023-03-23,27232.970703,27461.970703,27175.630859,27419.609375,27419.609375,64100000
2023-03-24,27368.619141,27397.289063,27257.439453,27385.250000,27385.250000,59500000
2023-03-27,27482.390625,27543.480469,27359.720703,27476.869141,27476.869141,57400000
2023-03-28,27573.820313,27603.449219,27432.759766,27518.250000,27518.250000,66400000
2023-03-29,27549.369141,27897.720703,27505.480469,27883.779297,27883.779297,83800000
2023-03-30,27827.890625,27876.380859,27630.550781,27782.929688,27782.929688,82000000
2023-03-31,28009.220703,28124.619141,27986.619141,28041.480469,28041.480469,91100000
2023-04-03,28203.349609,28258.910156,28120.710938,28188.150391,28188.150391,75000000
2023-04-04,28213.929688,28287.419922,28139.119141,28287.419922,28287.419922,73300000
2023-04-05,28111.039063,28133.570313,27788.769531,27813.259766,27813.259766,74300000
2023-04-06,27589.140625,27609.859375,27427.660156,27472.630859,27472.630859,73200000
2023-04-07,27554.369141,27591.150391,27456.250000,27518.310547,27518.310547,49100000
2023-04-10,27658.519531,27737.490234,27597.179688,27633.660156,27633.660156,48000000
2023-04-11,27895.900391,28068.390625,27854.820313,27923.369141,27923.369141,64800000
2023-04-12,27985.929688,28121.460938,27983.970703,28082.699219,28082.699219,62700000
2023-04-13,27952.580078,28163.869141,27952.009766,28156.970703,28156.970703,59900000
2023-04-14,28321.539063,28515.509766,28282.820313,28493.470703,28493.470703,72900000
2023-04-17,28537.990234,28599.750000,28414.980469,28514.779297,28514.779297,58000000
2023-04-18,28567.539063,28698.220703,28520.759766,28658.830078,28658.830078,62300000
2023-04-19,28619.839844,28677.220703,28531.539063,28606.759766,28606.759766,58000000
2023-04-20,28472.000000,28694.250000,28442.449219,28657.570313,28657.570313,56700000
2023-04-21,28590.550781,28778.369141,28527.800781,28564.369141,28564.369141,61400000
2023-04-24,28631.779297,28680.650391,28567.240234,28593.519531,28593.519531,50000000
2023-04-25,28697.730469,28806.689453,28609.769531,28620.070313,28620.070313,59300000
2023-04-26,28478.519531,28551.609375,28319.769531,28416.470703,28416.470703,68700000
2023-04-27,28340.589844,28459.730469,28241.669922,28457.679688,28457.679688,73600000
2023-04-28,28705.910156,28879.240234,28499.509766,28856.439453,28856.439453,104000000
2023-05-01,29058.050781,29145.890625,29016.830078,29123.179688,29123.179688,73400000
2023-05-02,29278.800781,29278.800781,29083.130859,29157.949219,29157.949219,63900000
2023-05-08,29095.460938,29144.119141,28931.810547,28949.880859,28949.880859,74100000
2023-05-09,29020.630859,29262.359375,29020.630859,29242.820313,29242.820313,86400000
2023-05-10,29189.410156,29195.160156,29070.109375,29122.179688,29122.179688,87300000
2023-05-11,29110.789063,29165.589844,29028.710938,29126.720703,29126.720703,82200000
2023-05-12,29199.300781,29426.060547,29141.519531,29388.300781,29388.300781,106100000
2023-05-15,29547.039063,29629.470703,29475.970703,29626.339844,29626.339844,88600000
2023-05-16,29838.009766,29916.560547,29779.070313,29842.990234,29842.990234,107400000
2023-05-17,29912.439453,30115.320313,29912.439453,30093.589844,30093.589844,93100000
2023-05-18,30432.539063,30667.130859,30381.900391,30573.929688,30573.929688,90500000
2023-05-19,30847.359375,30924.570313,30679.160156,30808.349609,30808.349609,80500000
2023-05-22,30735.710938,31086.820313,30689.269531,31086.820313,31086.820313,75400000
2023-05-23,31245.720703,31352.529297,30828.730469,30957.769531,30957.769531,92200000
2023-05-24,30728.689453,30856.919922,30566.830078,30682.679688,30682.679688,81700000
